SYMBOL;GENENAME;GSM2696758;GSM2696759;GSM2696760;GSM2696761;GSM2696762;GSM2696763;GSM2696764;GSM2696765;GSM2696766;GSM2696767;GSM2696768;GSM2696769;GSM2696770
MCUB;mitochondrial calcium uniporter dominant negative subunit beta;7.74165957097313;7.74165957097313;7.64434082599701;7.6579250755886;7.47888197945985;7.55664444079538;7.86892799875621;7.74911090980513;7.6025571666492;7.56869004688834;9.16053119714458;8.21877145707922;8.12366226863653
HOXA11;homeobox A11;5.85797922007679;5.48443470363011;6.37925837930104;5.90580486903688;6.20390614661038;5.94706406875412;6.22616623729544;6.96438667707134;7.02729593358444;7.08033742449089;5.92686153640543;6.2276355588523;6.22616623729544
POLR2J;RNA polymerase II subunit J;8.43904285952305;8.1853734470225;8.51434098743537;8.24961997072188;8.345678935365;8.44894388239189;8.63493476265938;8.49665004904973;8.43152490535142;8.27013934889507;9.15997251295918;9.04797231976574;8.89710796728105
DHX33;DEAH-box helicase 33;6.60758330309887;6.35076031204335;6.3480809392171;6.55328544737753;6.42874838053323;6.27671059187502;6.53679238089707;6.92366112819742;6.75069089986483;6.44325993309085;6.27119884012679;6.81281562881479;6.75993030520839
MEOX1;mesenchyme homeobox 1;4.21806433461238;4.42782529081098;4.60156954043819;4.36838592661647;4.4509625336121;4.36115960501066;4.04432556230167;4.08356203111017;4.17784854503303;4.11518475569009;4.32358110486927;4.34565506220324;4.10377778777289
THSD7A;thrombospondin type 1 domain containing 7A;3.82229707779812;3.89154684692936;3.8814569392663;3.74802829104346;3.74802829104346;3.78365526709746;3.74022251721444;3.74802829104346;3.74802829104346;3.51197942557111;3.68792951982072;3.44484036049422;3.72416649225643
LIG3;DNA ligase 3;5.54384890470309;5.81718933324374;5.97251670353347;5.88712800032655;5.79325414154084;5.71475463379665;5.85608821866879;6.41688238217376;6.18215396881333;6.45061778661183;5.20499007502956;6.01919465251699;5.82170484556039
RPAP3;RNA polymerase II associated protein 3;7.13917254391986;7.18997904697601;6.92415744535566;7.06541611798374;7.0815777059136;6.95405917228883;7.2187352793501;7.18997904697601;7.09568576195613;7.17969922443422;8.0743013470188;7.62799792736467;7.84544967990446
ACSM3;acyl-CoA synthetase medium chain family member 3;3.51070351173371;3.38326788752052;3.52540548051025;3.40859317671727;3.44071315210375;3.67049301197296;3.52107310033568;3.35969064557127;3.10319404675112;3.55660134506915;4.03782149644243;3.39414056699425;3.64890501194536
REXO5;RNA exonuclease 5;4.24402523183912;4.49948929702478;4.97929032303977;4.75609055901061;4.68961492042066;4.70510692101356;5.23681058873663;4.37342745232628;4.33197081579323;4.45474545552051;4.65848319855671;5.20039683083603;5.33799094989675
CIAPIN1;cytokine induced apoptosis inhibitor 1;5.76260176342016;5.6260762129805;6.05036972150325;5.82790271471548;5.84925325897568;5.51591147378861;5.95745734188283;6.08649790008275;5.95745734188283;5.57767013166202;6.41061783299755;6.55216021405084;6.60385037624877
SPPL2B;signal peptide peptidase like 2B;5.28160611622095;5.34649416269729;5.61268135426879;5.44845836988959;5.35416098879016;5.21398195620474;5.50907280085121;5.63600044816014;5.44845836988959;5.12570479286927;5.4908341578541;5.94850320380134;5.82176598754369
FAM214B;family with sequence similarity 214 member B;7.0182603402671;7.01023517372724;7.13598181295998;7.26404994585937;7.36956052801759;7.2930586332766;7.13598181295998;7.28484729701189;7.09345235161639;7.09750649224228;6.52519225604265;7.10064052673883;7.13598181295998
COPZ2;COPI coat complex subunit zeta 2;9.28310973545383;8.99125818718764;9.63111586532052;9.55972043657698;9.56686158621266;9.2854059200959;10.1491646538161;8.66918948154465;8.70288847930425;8.78658667268018;10.1226258155898;10.7864558728625;10.8690299020836
MSL3;MSL complex subunit 3;6.70590711582813;6.50867233905694;6.71260394255622;6.73820556972797;6.59347525022276;6.37547465672985;6.47980975187719;7.34430995777084;7.65938336883993;7.41604681696983;6.7124759416829;6.70590711582813;6.25256345758208
CREBBP;CREB binding protein;9.01358074911772;8.72732718796758;8.54718594949983;8.76571244813053;8.61284986460494;8.88484218295202;8.6777831104096;8.76841761577206;8.65595470394366;8.62324307640066;8.06160086327063;8.71630261886807;8.71630261886807
TSPOAP1;TSPO associated protein 1;4.73810294360809;4.72182406669269;5.01994054784588;4.73810294360809;4.73810294360809;4.78523259394356;4.47855669256873;4.65351608296975;4.7974970989137;4.56703314698838;4.73810294360809;4.65443241570019;4.74281890416516
MPO;myeloperoxidase;3.87553633141139;3.88566636363894;3.7658655670806;3.93701253777348;3.70378591553638;3.85763282390985;3.8470395006328;3.82588549113402;3.97589609158382;3.57156913595692;3.93002208933856;3.85252196885387;3.85989491001536
PON1;paraoxonase 1;3.3780681895583;3.82427906911463;3.45185176051526;3.54965765955401;3.21687602281403;3.58197200627118;3.52045638604921;3.46642015764473;3.38429645529036;3.32110169556391;3.63036683636257;3.28264307027711;3.50209960418259
GCFC2;GC-rich sequence DNA-binding factor 2;6.50237724795776;6.6367043437248;6.37902407817085;5.89625189482339;6.40313618030875;6.50895572001268;6.41893891679053;6.37902407817085;6.14444146253672;6.37902407817085;6.26467118922257;6.10994577153163;6.31307053793137
WDR54;WD repeat domain 54;7.21047563682072;7.256151772049;7.18925371327395;7.77242707014379;7.79919171363321;7.68855127173438;7.60546987069705;7.16736841691753;7.16559158351763;6.8706484323844;6.46180549200315;6.18907264410547;6.36487739044077
CROT;carnitine O-octanoyltransferase;5.05753722476581;5.04673359187424;4.96652465749778;4.88628837045045;5.08432500127959;4.89537582077688;4.96408517849185;3.8968571894821;4.0210805546838;4.26720326120665;5.01706460039977;5.78453151346551;6.04212542404331
